pinetree,5487974244438825160,25.273006,-2.144352,-30.830359,0.000000,0.000000,0.000000,1.000000
pinetree,6837509933292391585,29.415810,-1.323831,-34.181057,0.000000,0.000000,0.000000,1.000000
pinetree,9976769104734798601,26.735765,-1.694866,-29.377892,0.000000,0.000000,0.000000,1.100000
pinetree,18394513637147512371,31.743647,-0.482301,-32.086853,0.000000,0.000000,0.000000,1.100000
pinetree,3622326896307680763,35.068325,0.655098,-29.382772,0.000000,0.000000,0.000000,1.900000
pinetree,3542098007073781949,30.181938,-0.381319,-25.538425,0.000000,0.000000,0.000000,1.900000
grass,7693439866383013303,29.508434,-0.451950,-25.641562,0.000000,0.000000,0.000000,1.900000
grass,9447461049754778258,27.501949,-1.215731,-28.339561,0.000000,0.000000,0.000000,1.900000
pinetree,14810604407909020894,25.967743,-2.039964,-29.871462,0.000000,0.000000,0.000000,1.000000
grass,11967363791955561330,28.086731,-0.960740,-28.013222,0.000000,0.000000,0.000000,1.000000
grass,12536256040448892766,27.823467,-1.010138,-27.556576,0.000000,0.000000,0.000000,1.000000
grass,1217282227866094651,28.084673,-0.852468,-27.016911,0.000000,0.000000,0.000000,1.000000
grass,7165304690755871244,30.267889,-1.025812,-33.023071,0.000000,0.000000,0.000000,1.000000
grass,6254926438118024672,32.107265,-0.232844,-31.400482,0.000000,0.000000,0.000000,1.000000
grass,9219375010428274883,30.486641,-0.747016,-31.822918,0.000000,0.000000,0.000000,1.000000
grass,8893542913084910486,31.258240,0.090196,-28.624908,0.000000,0.000000,0.000000,1.000000
grass,8584750955220602213,33.197166,0.411038,-29.203352,0.000000,0.000000,0.000000,1.000000
grass,16285292204851729801,31.367744,-0.173166,-30.353695,0.000000,0.000000,0.000000,1.000000
grass,13189391215267335527,36.558956,-1.164370,-22.347967,0.000000,0.000000,0.000000,1.000000
grass,9060892990114036570,36.748726,-1.306316,-21.882528,0.000000,0.000000,0.000000,1.000000
grass,10941453776439346910,31.715311,-0.585258,-24.508434,0.000000,0.000000,0.000000,1.400000
pinetree,17927079991564150626,31.310314,-0.712991,-24.146524,0.000000,0.000000,0.000000,1.500000
pinetree,6200126970884994585,32.340534,-0.936856,-23.512241,0.000000,0.000000,0.000000,1.800000
pinetree,8698472374064845606,34.110691,-1.212494,-22.731266,0.000000,0.000000,0.000000,2.100000
